user_id,amount,merchant,timestamp,velocity_flag,velocity_count,amount_flag,user_avg_amount,rule_flag,ml_flag,risk_score,final_flag,reason
user_001,52.6,Zomato,2026-08-27 09:24:47,False,1,False,591.13,False,True,65.9,True,ML anomaly pattern
user_001,477.79,Netflix,2026-08-27 09:52:13,False,1,False,591.13,False,False,3.1,False,normal
user_001,918.1,Myntra,2026-08-27 10:32:19,False,1,False,591.13,False,False,7.9,False,normal
user_001,423.01,Ola,2026-08-27 10:47:08,False,1,False,591.13,False,False,1.2,False,normal
user_001,619.6,Ola,2026-08-27 11:18:08,False,1,False,591.13,False,False,2.8,False,normal
user_001,361.31,Swiggy,2026-08-27 11:44:22,False,1,False,591.13,False,False,4.8,False,normal
user_001,549.04,Zomato,2026-08-27 12:09:42,False,1,False,591.13,False,False,2.5,False,normal
user_001,1871.55,Swiggy,2026-08-27 12:16:58,False,1,False,591.13,False,False,40.3,False,normal
user_001,565.91,Swiggy,2026-08-27 13:01:14,False,1,False,591.13,False,False,3.9,False,normal
user_001,1972.54,Myntra,2026-08-27 13:36:31,False,1,False,591.13,False,False,46.4,False,normal
user_001,899.73,BigBasket,2026-08-27 13:58:15,False,1,False,591.13,False,False,6.5,False,normal
user_001,434.11,Uber,2026-08-27 14:16:04,False,1,False,591.13,False,False,2.0,False,normal
user_001,92.69,BookMyShow,2026-08-27 16:18:22,False,1,False,591.13,False,False,51.5,False,normal
user_001,858.47,Uber,2026-08-27 16:38:03,False,1,False,591.13,False,False,4.5,False,normal
user_001,925.08,Swiggy,2026-08-27 16:40:27,False,1,False,591.13,False,False,13.4,False,normal
user_001,157.36,BigBasket,2026-08-27 16:54:27,False,1,False,591.13,False,False,13.6,False,normal
user_001,1683.98,Amazon,2026-08-27 17:05:35,False,1,False,591.13,False,False,29.9,False,normal
user_001,1396.03,Swiggy,2026-08-27 18:03:51,False,1,False,591.13,False,False,30.3,False,normal
user_001,575.85,Flipkart,2026-08-27 18:11:21,False,1,False,591.13,False,False,5.4,False,normal
user_001,261.68,Ola,2026-08-27 19:21:08,False,1,False,591.13,False,False,17.5,False,normal
user_001,480.86,BookMyShow,2026-08-27 19:44:29,False,1,False,591.13,False,False,2.1,False,normal
user_001,206.08,Amazon,2026-08-27 19:51:47,False,1,False,591.13,False,False,13.9,False,normal
user_001,141.22,Netflix,2026-08-27 20:11:46,False,1,False,591.13,False,False,14.3,False,normal
user_001,134.6,BookMyShow,2026-08-27 20:31:20,False,1,False,591.13,False,False,15.5,False,normal
user_001,1042.36,Amazon,2026-08-27 21:30:32,False,1,False,591.13,False,False,14.8,False,normal
user_001,408.43,Swiggy,2026-08-27 21:35:51,False,1,False,591.13,False,False,5.1,False,normal
user_001,693.7,Myntra,2026-08-27 22:36:14,False,1,False,591.13,False,False,7.8,False,normal
user_001,931.78,Myntra,2026-08-27 22:37:31,False,1,False,591.13,False,False,13.0,False,normal
user_001,366.54,BigBasket,2026-08-28 00:40:46,False,1,False,591.13,False,False,31.0,False,normal
user_001,449.18,Myntra,2026-08-28 01:49:12,False,1,False,591.13,False,False,12.0,False,normal
user_001,214.1,Flipkart,2026-08-28 02:21:36,False,1,False,591.13,False,False,9.2,False,normal
user_001,794.25,BigBasket,2026-08-28 02:22:10,False,2,False,591.13,False,False,10.7,False,normal
user_001,1259.91,Uber,2026-08-28 03:13:32,False,1,False,591.13,False,False,18.4,False,normal
user_001,534.95,Zomato,2026-08-28 03:24:25,False,1,False,591.13,False,False,1.8,False,normal
user_001,1419.59,Flipkart,2026-08-28 03:24:47,False,2,False,591.13,False,False,31.1,False,normal
user_001,650.14,Amazon,2026-08-28 04:03:12,False,1,False,591.13,False,False,2.9,False,normal
user_001,606.41,Myntra,2026-08-28 05:05:05,False,1,False,591.13,False,False,6.2,False,normal
user_001,891.95,Uber,2026-08-28 05:40:43,False,1,False,591.13,False,False,6.3,False,normal
user_001,1471.93,Amazon,2026-08-28 06:02:37,False,1,False,591.13,False,False,19.9,False,normal
user_001,1031.71,Ola,2026-08-28 06:23:34,False,1,False,591.13,False,False,9.1,False,normal
user_001,1021.85,Uber,2026-08-28 08:47:59,False,1,False,591.13,False,False,45.6,False,normal
user_001,313.35,Netflix,2026-08-28 08:49:52,False,1,False,591.13,False,False,10.6,False,normal
user_002,1292.79,Swiggy,2026-08-27 10:39:18,False,1,False,964.9,False,False,53.4,False,normal
user_002,1533.52,Zomato,2026-08-27 10:48:25,False,1,False,964.9,False,False,19.7,False,normal
user_002,49.34,Netflix,2026-08-27 10:48:27,False,2,False,964.9,False,False,39.5,False,normal
user_002,163.64,BigBasket,2026-08-27 11:50:05,False,1,False,964.9,False,False,23.1,False,normal
user_002,1212.04,Amazon,2026-08-27 13:12:56,False,1,False,964.9,False,False,28.8,False,normal
user_002,1731.67,BigBasket,2026-08-27 13:13:59,False,1,False,964.9,False,False,33.7,False,normal
user_002,1669.41,Netflix,2026-08-27 13:24:50,False,1,False,964.9,False,False,23.8,False,normal
user_002,822.34,Zomato,2026-08-27 16:01:05,False,1,False,964.9,False,False,47.7,False,normal
user_002,2275.49,Ola,2026-08-27 16:11:03,False,1,False,964.9,False,False,41.1,False,normal
user_002,804.4,Swiggy,2026-08-27 16:11:59,False,2,False,964.9,False,False,12.3,False,normal
user_002,987.93,Myntra,2026-08-27 16:14:22,False,1,False,964.9,False,False,11.2,False,normal
user_002,1146.68,Swiggy,2026-08-27 16:57:37,False,1,False,964.9,False,False,11.8,False,normal
user_002,677.57,Amazon,2026-08-27 17:54:52,False,1,False,964.9,False,False,9.3,False,normal
user_002,1914.86,Swiggy,2026-08-27 18:30:37,False,1,False,964.9,False,False,31.6,False,normal
user_002,1727.82,Zomato,2026-08-27 18:39:42,False,1,False,964.9,False,False,25.7,False,normal
user_002,1982.47,Netflix,2026-08-27 18:59:36,False,1,False,964.9,False,False,30.5,False,normal
user_002,970.32,Flipkart,2026-08-27 19:38:04,False,1,False,964.9,False,False,6.6,False,normal
user_002,783.38,Swiggy,2026-08-27 19:42:46,False,1,False,964.9,False,False,8.3,False,normal
